Oracion                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | Etiqueta Real   | Predicción
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------| ----------------|---------
probablemente daria auriculare calificacion 4 5 si cabeza ma pequena  tipo alto cabeza requiere sombrero grande extra grande  auriculare duelen oidos estan ajustados  ademas  preocupa banda acabe quebrandose debido estres supone tener abrirse par par  probablemente devuelva  cierto  auriculare diferentes largo ano  71 ano   conjunto unico problema                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | 3.0             | 3.0
jbl t450bt  version anterior mismos auriculare  calidad sonido mejor  unico bueno auriculare bateria funciona 40 horas   tamano auriculare pequeno calidad horrible                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | 3.0             | 4.0
aqui podium charlar absoluto  pedi 2 pares enviaron reemplazos modos  pude escuchar juego mismo auriculare sono bien  podium escuchar persona importar hiciera auriculare vi foro persona tenian mismo problema parecen ser solucion ello todavia  asi devolverlos  pena buen sonido comodos  sirve si pueden cumplir tarea principal comunicarse demas juegos                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 1.0             | 5.0
bien                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | 4.0             | 5.0
calidad construccion excelente  sonido bonito  ecualizadores preestablecidos hacen sonido demasiado bajo  mejor quitarselo  funciona bien dolby atmos  asegurese actualizar firmware ma reciente aprovechar realmente sonido espacial  vez actualice  auricular diferente  veces  auriculare permaneceran encendidos deben reiniciarse completo  ahora  llamadas telefonicas bluetooth terribles  voz entrante demasiado distorsionada cortada  cascos sellan bien bloquean ruido exterior  desventaja vuelven incomodos  especialmente gafas despues largas sesiones debido alta tension banda superior  general  satisfechos                                                                                                                                                                                                                                                                                                                                                                                                           | 4.0             | 1.0
audio productos jbl mayoria veces dejan satisfecha excepcion  bajos escuchan claro tal prometen  unico inconveniente veo parte vocal sonidos sintetizador similares pequena                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 5.0             | 5.0
pequenas novia encantaron                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | 4.0             | 2.0
falla ningun tipo  excelente                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | 5.0             | 4.0
gusta auriculare juegos  tan buenos ademas microfono desperdicio adecuado  aunque solo uso normal raro  vaya ser perdida dinero  verdad                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | 3.0             | 5.0
